iter	RMSE
0	10.14023996
1	9.936745109
2	9.761170593
3	9.596850867
4	9.468399043
5	9.304683574
6	9.159284854
7	9.020555036
8	8.879529283
9	8.761301909
10	8.659421131
11	8.544467935
12	8.444979818
13	8.350331962
14	8.249965276
15	8.151804684
16	8.069273209
17	7.976111148
18	7.903660594
19	7.833272028
20	7.756693673
21	7.689133481
22	7.62497406
23	7.559943214
24	7.493467201
25	7.43884465
26	7.384158951
27	7.325479878
28	7.272780414
29	7.222535789
30	7.170778357
31	7.122697516
32	7.073096331
33	7.033282308
34	6.989043367
35	6.950855344
36	6.915677489
37	6.879087886
38	6.843938374
39	6.812224039
40	6.779298923
41	6.751207473
42	6.721724768
43	6.692934067
44	6.66762789
45	6.635787542
46	6.613896689
47	6.584917045
48	6.558001927
49	6.534880091
50	6.510088071
51	6.486089573
52	6.462588005
53	6.44181916
54	6.423464154
55	6.404490516
56	6.385162171
57	6.370261641
58	6.354083518
59	6.335153808
60	6.31579879
61	6.300328296
62	6.283394399
63	6.267409825
64	6.251584237
65	6.236863406
66	6.224432157
67	6.21209539
68	6.197945968
69	6.181738331
70	6.16527048
71	6.152959285
72	6.137977119
73	6.124036432
74	6.112658986
75	6.099225393
76	6.088785659
77	6.076739666
78	6.064754147
79	6.055844874
80	6.047384431
81	6.037051966
82	6.026571675
83	6.018449091
84	6.007917268
85	5.999341472
86	5.991167933
87	5.981226425
88	5.97119081
89	5.959501398
90	5.954915202
91	5.945723748
92	5.937145708
93	5.931078978
94	5.921824332
95	5.915721567
96	5.908828521
97	5.901983445
98	5.892877811
99	5.886384336
